epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,181.196,1.46823,1.92477,1.93214,1.35561,0,0.35276,0.45382,0.27755,0.10197,0.39429,0.48193,0.30135,0.09532,2.05191,1.32225,2.36452,1.77309,0,0.00066595,0.00066595,0.00066595
2,304.392,1.46297,1.72918,1.52886,1.35164,0,0.52781,0.63855,0.49189,0.2038,0.38315,0.51004,0.28128,0.08659,1.9066,1.34192,1.85138,1.67005,0,0.00131942,0.00131942,0.00131942
3,450.083,1.42909,1.74096,1.43451,1.3286,0,0.57873,0.59585,0.53737,0.23519,0.49201,0.51807,0.36948,0.10241,1.77136,1.32745,1.71293,1.59644,0,0.0019597,0.0019597,0.0019597
4,559.977,1.34333,1.68836,1.32771,1.29369,0,0.678,0.60643,0.58394,0.30908,0.55326,0.53219,0.42622,0.10959,1.65808,1.29249,1.59208,1.50081,0,0.0019406,0.0019406,0.0019406
5,709.728,1.27187,1.63018,1.24125,1.26083,0,0.6399,0.71486,0.61528,0.31283,0.52109,0.59429,0.40765,0.1206,1.6465,1.28033,1.54251,1.44926,0,0.0019208,0.0019208,0.0019208
6,831.265,1.2241,1.63289,1.19952,1.24005,0,0.72708,0.6506,0.61724,0.31859,0.62485,0.57527,0.48793,0.13649,1.59009,1.24869,1.56913,1.42061,0,0.001901,0.001901,0.001901
