epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
21,1442.64,0.92918,1.46962,0.84276,1.10144,0,0.78386,0.69912,0.73629,0.48429,0.6691,0.60093,0.55853,0.18406,1.2031,1.211,1.23705,1.17643,0,0.001604,0.001604,0.001604
22,1491.92,0.95965,1.49285,0.87224,1.10882,0,0.81698,0.71486,0.75854,0.50958,0.70645,0.61847,0.57312,0.17942,1.21806,1.22651,1.15044,1.12966,0,0.0015842,0.0015842,0.0015842
23,1542.15,0.93823,1.47092,0.8494,1.10038,0,0.75819,0.71486,0.76233,0.52736,0.65342,0.62249,0.56595,0.19004,1.1423,1.27117,1.10914,1.13715,0,0.0015644,0.0015644,0.0015644
24,1594.3,0.94077,1.46592,0.84684,1.10148,0,0.81148,0.70683,0.74815,0.48869,0.70586,0.59839,0.58228,0.1903,1.18558,1.21062,1.19198,1.13399,0,0.0015446,0.0015446,0.0015446
25,1643.78,0.93663,1.4804,0.84473,1.09991,0,0.82381,0.73236,0.78141,0.53786,0.68952,0.63325,0.61759,0.19476,1.16836,1.21526,1.11166,1.13459,0,0.0015248,0.0015248,0.0015248
26,1695.77,0.91544,1.45955,0.8252,1.09053,0,0.82634,0.72289,0.78256,0.53392,0.71282,0.63454,0.60733,0.19613,1.13024,1.21418,1.11512,1.11147,0,0.001505,0.001505,0.001505
27,1746.25,0.91928,1.48579,0.83268,1.09112,0,0.77644,0.69742,0.74538,0.51148,0.63547,0.64659,0.57927,0.1888,1.15998,1.20733,1.12652,1.11894,0,0.0014852,0.0014852,0.0014852
28,1796.26,0.93221,1.46727,0.84957,1.09783,0,0.82371,0.71888,0.77599,0.53167,0.70644,0.61847,0.61219,0.19824,1.09619,1.2073,1.11941,1.10843,0,0.0014654,0.0014654,0.0014654
29,1846.25,0.90944,1.45282,0.82586,1.09177,0,0.87058,0.6988,0.79054,0.54194,0.7597,0.62651,0.60755,0.20466,1.096,1.22483,1.11064,1.10466,0,0.0014456,0.0014456,0.0014456
30,1895.84,0.89702,1.45985,0.80901,1.07926,0,0.80041,0.70683,0.76549,0.52451,0.72037,0.61044,0.60972,0.19554,1.1412,1.22176,1.10838,1.14981,0,0.0014258,0.0014258,0.0014258
31,1945.65,0.91477,1.45332,0.79833,1.08687,0,0.83422,0.72751,0.80633,0.55178,0.75149,0.59438,0.6332,0.20672,1.12902,1.23382,1.08277,1.09506,0,0.001406,0.001406,0.001406
32,1996.21,0.8993,1.47026,0.80018,1.08058,0,0.82297,0.71084,0.775,0.5337,0.71089,0.63855,0.59451,0.19459,1.10148,1.23402,1.0711,1.09437,0,0.0013862,0.0013862,0.0013862
33,2046.63,0.8981,1.45067,0.80153,1.07667,0,0.86213,0.6747,0.78153,0.54922,0.73802,0.59962,0.58952,0.19413,1.07549,1.25056,1.06094,1.11093,0,0.0013664,0.0013664,0.0013664
34,2099.24,0.89487,1.46453,0.80141,1.07824,0,0.82794,0.69478,0.78581,0.55347,0.73366,0.61847,0.63264,0.20415,1.07884,1.20509,1.06512,1.06701,0,0.0013466,0.0013466,0.0013466
35,2185.52,0.88154,1.4477,0.79206,1.07418,0,0.81837,0.74192,0.79371,0.55737,0.69011,0.63499,0.58386,0.18455,1.0975,1.26732,1.02283,1.12122,0,0.0013268,0.0013268,0.0013268
36,2465.84,0.88259,1.44512,0.7945,1.07431,0,0.82836,0.73092,0.80024,0.55973,0.72961,0.62249,0.62702,0.2062,1.07248,1.21181,1.02676,1.11474,0,0.001307,0.001307,0.001307
37,2516.08,0.87586,1.44881,0.76815,1.06203,0,0.83427,0.72779,0.78649,0.55509,0.73422,0.63454,0.63738,0.208,1.04235,1.22528,1.05565,1.08259,0,0.0012872,0.0012872,0.0012872
38,2566.84,0.8761,1.42526,0.77154,1.07034,0,0.82869,0.6988,0.77907,0.56252,0.68352,0.61847,0.5974,0.19665,1.02146,1.20937,1.03875,1.06092,0,0.0012674,0.0012674,0.0012674
39,2617.7,0.89085,1.46496,0.78361,1.07839,0,0.78645,0.70994,0.77164,0.54817,0.69446,0.63052,0.61683,0.20207,1.07106,1.21064,1.05239,1.11395,0,0.0012476,0.0012476,0.0012476
40,2668.72,0.86,1.44773,0.76454,1.06099,0,0.78521,0.76305,0.76381,0.55103,0.68728,0.66667,0.59561,0.20211,1.02923,1.18659,1.06413,1.07269,0,0.0012278,0.0012278,0.0012278
41,2719.94,0.86812,1.4273,0.76027,1.07043,0,0.83164,0.73494,0.79646,0.57166,0.74004,0.61847,0.63629,0.20896,1.0284,1.18857,1.06127,1.08394,0,0.001208,0.001208,0.001208
42,2771.55,0.86752,1.4332,0.75908,1.06662,0,0.85602,0.7163,0.78698,0.56709,0.75563,0.63334,0.61278,0.18476,1.04271,1.22431,1.00539,1.09524,0,0.0011882,0.0011882,0.0011882
43,2824.91,0.8571,1.45227,0.75679,1.06075,0,0.82666,0.70868,0.77359,0.5505,0.72973,0.61808,0.59216,0.19607,1.04746,1.20373,1.04787,1.07383,0,0.0011684,0.0011684,0.0011684
44,2874.02,0.85733,1.43291,0.74934,1.05598,0,0.76467,0.71888,0.7458,0.53844,0.71087,0.60233,0.6049,0.18984,1.03329,1.19832,1.07518,1.06624,0,0.0011486,0.0011486,0.0011486
45,2923.09,0.86498,1.41023,0.75751,1.06781,0,0.75732,0.74297,0.76863,0.55908,0.668,0.6506,0.58847,0.18759,1.0178,1.2242,1.03143,1.07737,0,0.0011288,0.0011288,0.0011288
46,2972.1,0.85162,1.41696,0.73984,1.06091,0,0.838,0.71084,0.7869,0.56548,0.76348,0.61847,0.64342,0.19655,1.02809,1.21798,1.01627,1.0735,0,0.001109,0.001109,0.001109
47,3021.21,0.85027,1.42644,0.74055,1.05789,0,0.80913,0.71505,0.77244,0.58499,0.72707,0.64659,0.63932,0.20712,0.98412,1.19619,1.01045,1.0547,0,0.0010892,0.0010892,0.0010892
48,3070.16,0.85166,1.414,0.73776,1.06039,0,0.82001,0.71358,0.78103,0.58749,0.72291,0.60643,0.61555,0.20671,0.99267,1.20049,0.97692,1.06009,0,0.0010694,0.0010694,0.0010694
49,3119.28,0.84317,1.39994,0.72716,1.05332,0,0.77717,0.74297,0.78716,0.56648,0.72475,0.61847,0.61973,0.20225,1.02783,1.21954,1.03781,1.05968,0,0.0010496,0.0010496,0.0010496
50,3168.47,0.84374,1.42588,0.7261,1.05251,0,0.86961,0.70281,0.79004,0.56637,0.76163,0.61446,0.62658,0.19804,1.01021,1.23641,1.0221,1.06324,0,0.0010298,0.0010298,0.0010298
51,3217.51,0.83817,1.4057,0.73162,1.05829,0,0.87211,0.68469,0.79751,0.57327,0.79818,0.61044,0.66504,0.21327,1.00467,1.19148,1.0157,1.06592,0,0.00101,0.00101,0.00101
52,3267,0.83878,1.41746,0.724,1.053,0,0.81365,0.72691,0.79686,0.59236,0.75393,0.64659,0.65538,0.21405,0.97358,1.21295,0.98624,1.0411,0,0.0009902,0.0009902,0.0009902
53,3316.06,0.83847,1.39741,0.72544,1.05016,0,0.83268,0.67871,0.78683,0.58485,0.70846,0.61044,0.64588,0.21611,0.98094,1.19995,1.0298,1.09041,0,0.0009704,0.0009704,0.0009704
54,3365.18,0.8358,1.40886,0.72452,1.05311,0,0.89277,0.70281,0.80542,0.58323,0.78632,0.61044,0.65195,0.21359,1.00425,1.22811,0.97323,1.06291,0,0.0009506,0.0009506,0.0009506
55,3414.28,0.82895,1.42828,0.71333,1.04298,0,0.86477,0.69344,0.78557,0.58196,0.74469,0.59741,0.60371,0.20108,0.97295,1.21837,0.96357,1.05304,0,0.0009308,0.0009308,0.0009308
56,3465.71,0.81691,1.3974,0.7082,1.04163,0,0.82813,0.70683,0.78308,0.58432,0.7076,0.64146,0.63649,0.20473,0.99054,1.22555,0.99764,1.05957,0,0.000911,0.000911,0.000911
57,3515.08,0.81814,1.38148,0.6993,1.04551,0,0.82229,0.70683,0.76979,0.57015,0.71487,0.64257,0.62952,0.21209,0.99763,1.20891,1.03147,1.07059,0,0.0008912,0.0008912,0.0008912
58,3563.85,0.8151,1.37718,0.70511,1.04078,0,0.84277,0.72691,0.81067,0.60514,0.76787,0.64257,0.65297,0.21769,0.9707,1.21413,0.95587,1.04996,0,0.0008714,0.0008714,0.0008714
59,3613,0.82385,1.40092,0.70553,1.04332,0,0.86876,0.69121,0.79034,0.59227,0.7779,0.61892,0.63765,0.20433,0.95973,1.23328,1.01923,1.05557,0,0.0008516,0.0008516,0.0008516
60,3662.36,0.81407,1.37416,0.68028,1.04449,0,0.89066,0.67871,0.79285,0.59656,0.76984,0.58635,0.62685,0.21049,0.95685,1.18714,0.98643,1.04588,0,0.0008318,0.0008318,0.0008318
61,3711.63,0.81236,1.39838,0.69182,1.04223,0,0.8385,0.70896,0.79558,0.59376,0.76313,0.63855,0.6441,0.20698,0.94607,1.20791,0.96557,1.03935,0,0.000812,0.000812,0.000812
62,3761.05,0.81329,1.40123,0.6978,1.03874,0,0.83767,0.74297,0.79652,0.60063,0.75183,0.64659,0.66342,0.21761,0.95197,1.20099,0.9508,1.03975,0,0.0007922,0.0007922,0.0007922
63,3810.46,0.80301,1.38525,0.66312,1.03581,0,0.84656,0.70281,0.79488,0.58108,0.77576,0.61044,0.63443,0.20127,0.98208,1.21137,0.97274,1.053,0,0.0007724,0.0007724,0.0007724
64,3859.37,0.79912,1.39006,0.66531,1.03444,0,0.84443,0.76305,0.79883,0.59704,0.74826,0.67871,0.65692,0.20716,0.96168,1.21403,0.94903,1.03543,0,0.0007526,0.0007526,0.0007526
65,3908.4,0.79372,1.36955,0.66365,1.03371,0,0.80491,0.76305,0.78913,0.60098,0.73956,0.66143,0.63605,0.20205,0.93052,1.22087,0.94873,1.02586,0,0.0007328,0.0007328,0.0007328
66,3957.47,0.79322,1.39331,0.66984,1.02914,0,0.83364,0.73494,0.80683,0.60186,0.69406,0.6747,0.64346,0.21038,0.96084,1.23049,0.94505,1.02699,0,0.000713,0.000713,0.000713
67,4006.83,0.79582,1.37826,0.66818,1.03413,0,0.8209,0.71888,0.78168,0.59966,0.76622,0.61044,0.64006,0.21634,0.91454,1.21398,0.94148,1.02228,0,0.0006932,0.0006932,0.0006932
68,4056.03,0.78825,1.3615,0.66301,1.0324,0,0.84236,0.74297,0.80564,0.61836,0.74244,0.65988,0.63607,0.21141,0.9331,1.21024,0.93353,1.0427,0,0.0006734,0.0006734,0.0006734
69,4104.87,0.79048,1.37621,0.6435,1.02691,0,0.8374,0.72391,0.78962,0.59555,0.75171,0.6506,0.64831,0.21027,0.93598,1.22853,0.94135,1.03093,0,0.0006536,0.0006536,0.0006536
70,4153.84,0.7963,1.38272,0.64984,1.0318,0,0.82533,0.73092,0.79801,0.60122,0.77203,0.65462,0.64826,0.21524,0.94586,1.22298,0.92378,1.04529,0,0.0006338,0.0006338,0.0006338
71,4203.33,0.79282,1.3742,0.64917,1.03522,0,0.83504,0.751,0.78557,0.57909,0.74463,0.6792,0.66146,0.21065,0.94917,1.23229,0.94606,1.04545,0,0.000614,0.000614,0.000614
72,4252.6,0.78438,1.38718,0.64426,1.02562,0,0.79606,0.75502,0.79595,0.59739,0.78648,0.62131,0.65649,0.21097,0.93859,1.21613,0.93853,1.03394,0,0.0005942,0.0005942,0.0005942
73,4301.72,0.78042,1.36686,0.64215,1.02569,0,0.8521,0.71727,0.79031,0.59983,0.75251,0.62277,0.64479,0.2105,0.93904,1.21216,0.94911,1.03441,0,0.0005744,0.0005744,0.0005744
74,4350.86,0.7719,1.35055,0.62833,1.0198,0,0.79138,0.751,0.78951,0.59351,0.69752,0.66265,0.65423,0.20915,0.94366,1.20776,0.94053,1.03612,0,0.0005546,0.0005546,0.0005546
75,4399.97,0.77266,1.36456,0.62828,1.02095,0,0.82329,0.72973,0.78315,0.59329,0.71908,0.63736,0.64473,0.21049,0.94648,1.20806,0.95855,1.03911,0,0.0005348,0.0005348,0.0005348
76,4449.25,0.7681,1.35867,0.63498,1.0169,0,0.8362,0.72691,0.7998,0.60013,0.71465,0.66667,0.6474,0.21355,0.93188,1.21597,0.93595,1.03145,0,0.000515,0.000515,0.000515
77,4498.5,0.77061,1.36838,0.62044,1.02127,0,0.82163,0.71888,0.78018,0.5991,0.7348,0.64257,0.62621,0.20431,0.90501,1.22556,0.96873,1.02047,0,0.0004952,0.0004952,0.0004952
78,4547.77,0.77263,1.36514,0.62497,1.02348,0,0.78962,0.75366,0.78339,0.59556,0.68914,0.66265,0.6209,0.21237,0.93155,1.22844,0.93778,1.04201,0,0.0004754,0.0004754,0.0004754
79,4596.81,0.7586,1.34221,0.61899,1.01163,0,0.84019,0.71788,0.78943,0.59902,0.68914,0.64994,0.62316,0.20631,0.95491,1.21912,0.93535,1.03705,0,0.0004556,0.0004556,0.0004556
80,4645.78,0.76909,1.35259,0.62911,1.02404,0,0.82991,0.72501,0.78261,0.5948,0.7392,0.62605,0.63075,0.20745,0.92732,1.22,0.95545,1.03102,0,0.0004358,0.0004358,0.0004358
81,4695.03,0.7573,1.35866,0.61389,1.01317,0,0.83008,0.72591,0.78464,0.59764,0.72874,0.63855,0.63911,0.21106,0.94343,1.21988,0.94944,1.03516,0,0.000416,0.000416,0.000416
82,4743.98,0.7675,1.35955,0.62178,1.01318,0,0.85251,0.71888,0.7912,0.59155,0.7384,0.64257,0.64296,0.21312,0.95713,1.21786,0.94805,1.03709,0,0.0003962,0.0003962,0.0003962
83,4793.14,0.75268,1.35843,0.61576,1.00824,0,0.81037,0.73896,0.77703,0.59465,0.74351,0.64028,0.64645,0.21152,0.90358,1.21602,0.93654,1.01497,0,0.0003764,0.0003764,0.0003764
84,4851.88,0.74495,1.34154,0.60651,1.00959,0,0.832,0.70683,0.77903,0.59685,0.72976,0.61847,0.63803,0.2142,0.94652,1.22675,0.94612,1.03362,0,0.0003566,0.0003566,0.0003566
85,4902.34,0.74471,1.34656,0.60622,1.00803,0,0.83532,0.73336,0.77887,0.59177,0.74672,0.63938,0.64738,0.21283,0.93922,1.21469,0.93603,1.04431,0,0.0003368,0.0003368,0.0003368
86,4952.8,0.75031,1.34977,0.59605,1.00185,0,0.83616,0.71735,0.77857,0.59604,0.77164,0.60241,0.63202,0.21066,0.91921,1.21479,0.94543,1.01835,0,0.000317,0.000317,0.000317
87,5003.46,0.76284,1.35889,0.61607,1.01902,0,0.8219,0.70427,0.7718,0.58272,0.73085,0.61446,0.62163,0.20889,0.94047,1.22588,0.9524,1.01893,0,0.0002972,0.0002972,0.0002972
88,5054.02,0.74476,1.34444,0.59572,1.01442,0,0.8375,0.72691,0.77423,0.58571,0.75043,0.63855,0.63865,0.21241,0.91842,1.22719,0.94678,1.01556,0,0.0002774,0.0002774,0.0002774
89,5104.26,0.75186,1.3548,0.59769,1.0103,0,0.7947,0.75502,0.77896,0.58584,0.71559,0.61044,0.62317,0.21054,0.94187,1.22777,0.9545,1.03345,0,0.0002576,0.0002576,0.0002576
90,5155.03,0.74114,1.34306,0.58897,1.00974,0,0.858,0.71486,0.78974,0.59849,0.7625,0.62249,0.64291,0.21445,0.94551,1.22159,0.9365,1.03641,0,0.0002378,0.0002378,0.0002378
91,5231.77,0.63883,0.99109,0.59517,1.04535,0,0.84407,0.73912,0.78865,0.59846,0.74828,0.65661,0.64191,0.21355,0.92053,1.23217,0.92555,1.01489,0,0.000218,0.000218,0.000218
92,5282.45,0.62595,0.98057,0.56909,1.03506,0,0.8713,0.70688,0.78882,0.60709,0.78175,0.63052,0.64415,0.21876,0.91278,1.23248,0.9057,1.0146,0,0.0001982,0.0001982,0.0001982
93,5332.37,0.61101,0.9757,0.55447,1.0174,0,0.87854,0.69721,0.78998,0.60139,0.78046,0.61847,0.62785,0.21601,0.91784,1.2342,0.90537,1.00331,0,0.0001784,0.0001784,0.0001784
94,5382.27,0.6076,0.97546,0.5426,1.02164,0,0.8617,0.72567,0.78293,0.60484,0.76961,0.64394,0.65211,0.21852,0.90465,1.24821,0.89432,0.99694,0,0.0001586,0.0001586,0.0001586
95,5432.38,0.5952,0.97069,0.54407,1.01958,0,0.83321,0.75904,0.78893,0.60901,0.75415,0.64659,0.63993,0.21948,0.89647,1.23941,0.88148,0.99753,0,0.0001388,0.0001388,0.0001388
96,5482.61,0.59201,0.97691,0.53955,1.01645,0,0.83643,0.71888,0.77482,0.59311,0.78268,0.62196,0.63175,0.21394,0.8984,1.24967,0.89803,0.99631,0,0.000119,0.000119,0.000119
97,5534.67,0.59122,0.96567,0.52968,1.01022,0,0.85795,0.6988,0.77387,0.59734,0.77361,0.61446,0.62593,0.21552,0.8917,1.24232,0.89684,0.99206,0,9.92e-05,9.92e-05,9.92e-05
98,5585.1,0.59232,0.96609,0.52526,1.01568,0,0.87524,0.71486,0.78035,0.59285,0.77581,0.61151,0.62873,0.21274,0.90382,1.24607,0.88987,1.00609,0,7.94e-05,7.94e-05,7.94e-05
99,5635.35,0.58809,0.96948,0.51986,1.01,0,0.85044,0.72289,0.78404,0.602,0.69826,0.63454,0.61226,0.21608,0.90012,1.24495,0.87943,1.00651,0,5.96e-05,5.96e-05,5.96e-05
100,5686.03,0.58614,0.97273,0.52446,1.0139,0,0.81662,0.74699,0.78282,0.605,0.72857,0.62249,0.61948,0.21656,0.89796,1.24202,0.87439,0.99653,0,3.98e-05,3.98e-05,3.98e-05
