epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,62.9483,1.09087,1.59178,1.08103,1.18616,0,0.76246,0.72191,0.67433,0.40282,0.62565,0.59065,0.49018,0.16795,1.41703,1.24625,1.38767,1.2471,0,0.000665233,0.000665233,0.000665233
2,144.513,1.10377,1.57244,1.08301,1.18514,0,0.71849,0.68273,0.67216,0.34971,0.57902,0.5502,0.45051,0.14729,1.54341,1.36353,1.5124,1.41804,0,0.00131871,0.00131871,0.00131871
3,227.416,1.14094,1.5803,1.09647,1.20279,0,0.71313,0.63894,0.64986,0.37745,0.61715,0.56225,0.47164,0.14669,1.45815,1.33443,1.43798,1.29749,0,0.00195899,0.00195899,0.00195899
4,290.194,1.1251,1.59071,1.08727,1.19233,0,0.79285,0.63023,0.70142,0.39886,0.69957,0.55176,0.52658,0.1715,1.52264,1.26566,1.41102,1.44094,0,0.0019406,0.0019406,0.0019406
5,467.955,1.11099,1.59267,1.07382,1.18748,0,0.86157,0.66265,0.75073,0.43505,0.73103,0.56225,0.54174,0.18011,1.45242,1.25951,1.36145,1.30834,0,0.0019208,0.0019208,0.0019208
6,632,1.09697,1.58198,1.05124,1.17929,0,0.79916,0.6506,0.71293,0.4077,0.67583,0.5502,0.50418,0.15446,1.41174,1.25972,1.35731,1.28219,0,0.001901,0.001901,0.001901
7,709.214,1.08005,1.60134,1.03192,1.16161,0,0.74094,0.63177,0.65428,0.38284,0.62509,0.5261,0.45324,0.15262,1.4031,1.27797,1.32115,1.30802,0,0.0018812,0.0018812,0.0018812
8,760.66,1.06868,1.5594,1.00933,1.16874,0,0.73023,0.69076,0.72017,0.41434,0.62896,0.58635,0.51102,0.15028,1.48419,1.25823,1.3525,1.30887,0,0.0018614,0.0018614,0.0018614
9,810.819,1.05448,1.56053,0.99721,1.15292,0,0.79955,0.66667,0.74551,0.4475,0.60693,0.56627,0.4965,0.17439,1.36818,1.26015,1.32935,1.28262,0,0.0018416,0.0018416,0.0018416
10,870.124,1.02946,1.54606,0.98438,1.1496,0,0.80365,0.68675,0.71651,0.45,0.68767,0.58359,0.51083,0.15301,1.36886,1.28293,1.28417,1.28356,0,0.0018218,0.0018218,0.0018218
11,926.589,1.03206,1.54153,0.9626,1.14015,0,0.72617,0.67871,0.6837,0.43862,0.54582,0.55823,0.45334,0.13779,1.2794,1.28921,1.30433,1.21068,0,0.001802,0.001802,0.001802
12,985.799,1.0307,1.52688,0.95739,1.14488,0,0.665,0.64659,0.6723,0.45457,0.56027,0.54752,0.48878,0.16018,1.23217,1.23013,1.25729,1.19744,0,0.0017822,0.0017822,0.0017822
13,1036.6,1.00046,1.51411,0.92653,1.13361,0,0.72129,0.72754,0.7424,0.47237,0.62699,0.64659,0.57021,0.18134,1.22762,1.20913,1.22071,1.2092,0,0.0017624,0.0017624,0.0017624
14,1087.71,1.00277,1.53843,0.94378,1.12598,0,0.7233,0.71888,0.74618,0.48716,0.63385,0.55618,0.54814,0.17166,1.20337,1.24506,1.18667,1.17329,0,0.0017426,0.0017426,0.0017426
15,1138.61,0.99011,1.49883,0.91788,1.12373,0,0.72795,0.70281,0.7252,0.46574,0.61779,0.57831,0.5248,0.15727,1.227,1.24423,1.20571,1.1795,0,0.0017228,0.0017228,0.0017228
16,1189.16,0.9819,1.50636,0.89628,1.12201,0,0.76222,0.74668,0.7521,0.48768,0.7175,0.5916,0.58414,0.18264,1.19726,1.2824,1.14291,1.19894,0,0.001703,0.001703,0.001703
17,1239.77,0.96658,1.49262,0.89453,1.11532,0,0.79516,0.71084,0.76425,0.49872,0.71912,0.60643,0.60802,0.194,1.18345,1.21148,1.16238,1.13626,0,0.0016832,0.0016832,0.0016832
18,1290.36,0.9754,1.50746,0.88049,1.11539,0,0.78673,0.66665,0.73684,0.47702,0.67021,0.62651,0.58472,0.16714,1.23104,1.23513,1.20412,1.15407,0,0.0016634,0.0016634,0.0016634
19,1343.49,0.97305,1.51065,0.88266,1.12605,0,0.76454,0.71084,0.7399,0.50425,0.62799,0.58981,0.52691,0.17029,1.13462,1.27194,1.1548,1.13581,0,0.0016436,0.0016436,0.0016436
20,1393.45,0.95598,1.48472,0.87761,1.11051,0,0.81001,0.70203,0.77776,0.53292,0.68084,0.63855,0.60969,0.19976,1.17052,1.23674,1.12482,1.12434,0,0.0016238,0.0016238,0.0016238
